0.45,-0.01,0.87,26.75,-0.80,60.16
0.47,-0.02,0.86,27.85,-0.99,59.83
0.42,-0.01,0.89,25.07,-0.51,62.98
0.28,-0.01,0.95,16.40,-0.59,72.12
0.10,0.03,0.99,5.88,1.55,81.42
-0.10,0.02,0.98,-5.51,1.03,78.47
-0.12,0.00,0.99,-7.09,0.05,80.66
-0.12,-0.01,0.99,-6.96,-0.46,80.99
-0.12,-0.01,0.99,-6.94,-0.70,80.21
-0.12,-0.01,0.98,-6.95,-0.66,79.93
-0.12,-0.00,0.98,-6.75,-0.14,79.63
-0.21,0.07,0.94,-12.28,3.93,69.90
-0.35,0.13,0.94,-20.43,7.70,69.43
-0.43,0.16,0.91,-25.77,9.08,65.46
-0.42,0.18,0.83,-25.12,10.37,56.40
-0.49,0.19,0.84,-29.56,10.79,56.66
-0.52,0.19,0.83,-31.04,10.95,56.45
-0.50,0.20,0.83,-30.26,11.29,55.99
-0.51,0.20,0.84,-30.76,11.38,57.20
-0.52,0.20,0.84,-31.10,11.39,57.16
-0.51,0.20,0.84,-30.79,11.62,57.29
-0.51,0.20,0.85,-30.40,11.55,57.72
-0.36,0.12,0.92,-20.81,6.93,67.50
0.02,0.03,0.97,1.03,1.57,75.50
-0.09,-0.03,1.00,-5.43,-1.74,88.73
-0.08,-0.01,1.00,-4.45,-0.85,86.38
-0.11,-0.01,0.99,-6.07,-0.65,80.12
-0.11,-0.01,0.99,-6.16,-0.59,81.12
-0.11,-0.01,0.99,-6.19,-0.69,80.99
-0.11,-0.01,0.99,-6.14,-0.53,81.05
-0.11,-0.01,0.99,-6.30,-0.57,80.23
-0.09,0.06,0.98,-5.34,3.59,79.11
-0.03,0.30,0.97,-2.00,17.18,75.33
0.02,0.43,0.88,0.86,25.52,61.36
-0.02,0.51,0.87,-0.95,30.44,59.95
0.00,0.48,0.87,0.24,28.97,60.07
-0.00,0.48,0.86,-0.24,28.86,59.78
0.00,0.49,0.86,0.15,29.23,59.88
0.00,0.49,0.88,0.26,29.54,61.24
-0.00,0.48,0.86,-0.19,28.39,59.38
0.00,0.48,0.87,0.03,28.61,60.14
0.01,0.49,0.87,0.58,29.46,60.19
0.01,0.49,0.85,0.79,29.03,58.70
0.00,0.49,0.86,0.09,29.17,59.79
0.00,0.49,0.87,0.05,29.09,60.94
0.02,0.39,0.91,0.92,22.98,65.49
-0.07,0.18,1.02,-4.19,10.14,90.00
-0.06,0.02,0.99,-3.66,1.01,83.31
-0.11,-0.01,0.98,-6.55,-0.36,79.07
-0.11,-0.01,0.99,-6.32,-0.32,80.79
-0.11,-0.01,0.99,-6.39,-0.39,80.21
-0.11,-0.01,0.99,-6.58,-0.30,80.10
-0.11,-0.01,0.98,-6.57,-0.31,79.67
-0.11,-0.00,0.99,-6.51,-0.24,80.14
-0.11,-0.02,0.98,-6.43,-1.10,79.75
-0.17,-0.07,1.02,-9.58,-3.93,90.00
-0.20,-0.30,0.87,-11.55,-17.35,60.34
-0.22,-0.39,0.90,-12.66,-22.93,63.74
-0.20,-0.41,0.88,-11.82,-24.14,61.22
-0.20,-0.40,0.89,-11.32,-23.47,62.84
-0.19,-0.41,0.88,-11.05,-24.47,62.09
-0.20,-0.40,0.88,-11.29,-23.88,61.63
-0.20,-0.41,0.88,-11.45,-24.06,61.78
-0.19,-0.40,0.89,-11.21,-23.65,63.13
-0.19,-0.41,0.88,-11.21,-24.08,62.17
-0.19,-0.41,0.88,-10.86,-24.17,62.19
-0.17,-0.34,0.93,-10.07,-19.68,68.98
-0.14,-0.07,0.95,-8.10,-4.09,71.49
-0.15,-0.04,1.03,-8.46,-2.51,90.00
-0.09,-0.01,0.98,-5.04,-0.35,79.20
-0.11,0.01,0.98,-6.03,0.64,79.61
-0.12,0.02,0.99,-6.67,1.15,80.29
-0.11,0.02,0.98,-6.47,0.88,79.54
-0.11,0.02,0.98,-6.54,1.08,79.73
-0.06,-0.00,0.97,-3.21,-0.23,76.87
-0.06,0.01,0.99,-3.31,0.32,82.88
0.21,0.00,0.97,12.24,0.01,74.92
0.36,0.01,0.93,20.95,0.33,68.15
0.41,-0.00,0.90,24.24,-0.18,64.00
0.43,-0.02,0.88,25.26,-1.27,61.76
0.44,0.00,0.89,25.81,0.15,63.04
0.44,-0.02,0.89,26.21,-1.18,62.76
0.42,-0.03,0.89,24.89,-1.85,63.33
0.42,-0.03,0.89,25.00,-1.47,63.18
0.43,-0.03,0.88,25.54,-1.67,61.68
0.43,-0.02,0.89,25.26,-1.32,62.35
